Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
50;infrastructure;;82:2A:A8:11:9D:EA;;1;No;WPA2,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:35:39 2018;Wed Nov 21 06:35:39 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
51;infrastructure;;82:2A:A8:11:9E:9C;;1;No;WPA2,AES-CCM;No;195.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:35:35 2018;Wed Nov 21 06:35:39 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
52;infrastructure;UPC6C57C6E;90:5C:44:28:81:67;;6;No;WPA2,AES-CCM,TKIP;No;270.0;0;3;0;0;0;0;0;;;Wed Nov 21 06:35:38 2018;Wed Nov 21 06:35:40 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
53;infrastructure;AcerProjectorGateway;00:16:44:A4:AA:60;;4;No;WEP;No;54.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:35:33 2018;Wed Nov 21 06:35:38 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
54;infrastructure;;F2:9F:C2:74:8D:6F;;1;No;WPA2,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:35:39 2018;Wed Nov 21 06:35:39 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
55;infrastructure;SSF-Mobil;F4:EC:38:FE:38:28;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Wed Nov 21 06:35:39 2018;Wed Nov 21 06:35:39 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
56;infrastructure;UPC Wi-Free;92:5C:14:28:81:67;;6;No;WPA2,AES-CCM,TKIP;No;270.0;0;5;0;0;0;0;0;;;Wed Nov 21 06:35:38 2018;Wed Nov 21 06:35:40 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
57;infrastructure;BusyMachines;80:2A:A8:11:9D:EA;;1;No;WPA2,AES-CCM;No;195.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:35:35 2018;Wed Nov 21 06:35:40 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
58;infrastructure;Ape Server;7C:8B:CA:28:86:4A;;11;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:35:31 2018;Wed Nov 21 06:35:43 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
59;infrastructure;muiecucacat;F4:F2:6D:A8:A0:38;;8;No;WPA2,AES-CCM;No;270.0;0;47;0;0;0;0;0;;;Wed Nov 21 06:34:09 2018;Wed Nov 21 06:35:41 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
